rule_id,rule_set,version,record_type,field_key,xpath,requirement,cardinality_min,cardinality_max,datatype,enum_values_json,pattern_regex,condition_expr,severity,auto_fixable,auto_fix_strategy,message,source_file,source_tab,source_row,source_ref,notes,active
mission_core_mission_abstract_abstract_is_required_1,mission-core,1,mission,mission.abstract,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract,required,1,,string,,,,block,false,,Abstract is required,mission_validation_full_field_matrix.csv,,2,mission-core,,true
mission_core_mission_abstract_abstract_quality_warnings_2,mission-core,1,mission,mission.abstract,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract,recommended,0,,string,,,,warn,false,,Abstract quality warnings,mission_validation_full_field_matrix.csv,,3,mission-core,"Expands to 0–3 abstract quality warnings (length, platform/sensor mention, acronyms).",true
mission_core_mission_accession_ncei_accession_must_be_alphanumeric_3,mission-core,1,mission,mission.accession,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier/gmd:code,required,1,,decimal,,,,block,false,,NCEI Accession must be alphanumeric,mission_validation_full_field_matrix.csv,,4,mission-core,,true
mission_strict_mission_accession_strict_mode_ncei_accession_is_requir_4,mission-strict,1,mission,mission.accession,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier/gmd:code,required,1,,string,,,,block,false,,Strict mode: NCEI Accession is required,mission_validation_full_field_matrix.csv,,5,mission-strict,,true
mission_catalog_mission_accession_catalog_mode_ncei_accession_is_requi_5,mission-catalog,1,mission,mission.accession,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier/gmd:code,required,1,,string,,,,block,false,,Catalog mode: NCEI Accession is required,mission_validation_full_field_matrix.csv,,6,mission-catalog,,true
mission_core_mission_bbox_bounding_box_must_be_numeric_w_e_s_n_6,mission-core,1,mission,mission.bbox,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox,required,1,,decimal,,,,block,false,,Bounding box must be numeric W/E/S/N,mission_validation_full_field_matrix.csv,,7,mission-core,,true
mission_core_mission_bbox_bounding_box_invalid_west_east_south_7,mission-core,1,mission,mission.bbox,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox,required,1,,decimal,,,,block,false,,"Bounding box invalid (west≤east, south≤north)",mission_validation_full_field_matrix.csv,,8,mission-core,,true
mission_core_mission_contacturl_contact_url_must_be_http_s_8,mission-core,1,mission,mission.contactUrl,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:linkage,required,1,,url,,,,block,false,,Contact URL must be http(s),mission_validation_full_field_matrix.csv,,9,mission-core,,true
mission_core_mission_doi_doi_must_look_like_10_xxxx_9,mission-core,1,mission,mission.doi,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier/gmd:code,required,1,,string,,,,block,false,,DOI must look like 10.xxxx/...,mission_validation_full_field_matrix.csv,,10,mission-core,,true
mission_strict_mission_doi_strict_mode_doi_is_required_10,mission-strict,1,mission,mission.doi,/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier/gmd:code,required,1,,string,,,,block,false,,Strict mode: DOI is required,mission_validation_full_field_matrix.csv,,11,mission-strict,,true
