Element_Tag,Placeholder_Text,Description_Spec,Spec_Role_Or_Note,Matches_To_Target_Mapping,Status_Gap_Note,Additional_Detail,Mapping_Confidence
fileIdentifier,Unique Identifier Assigned to Metadata Record,Unique ID for the file (e.g. UUID).,,missionId -> mission.id (generator prefixes gov.noaa.ncei.uxs: unless output.nceiFileIdPrefix is false),mostly fine,UI still labels missionId,High
dateStamp,Date Time,Resource Metadata Date,,metadataRecordDate else output.metadataRecordDate else server now,still fuzzy for users: record prepared vs mission dates,document the precedence in operator guidance,Medium
dimensionSize,Column Dimension Size,Number of elements along the axes,Grid axis: column,spatial.gridRepresentation.axes + cellGeometry when gridded representation enabled,collected when grid panel used; easy to leave off if users do not enable gridded representation,align Excel row to grid column axis,Medium
resolution,UNIT 99,Degree of detail in the grid dataset,Grid axis: column,spatial.gridRepresentation.axes[].resolution -> gco:Measure when parseable,same; free text may fall back to CharacterString in older paths only inside grid branch,Degree of detail in the grid dataset,Medium
dimensionSize,Row Dimension Size,Number of elements along the axes,Grid axis: row,spatial.gridRepresentation.axes + cellGeometry when gridded representation enabled,collected when grid panel used; easy to leave off if users do not enable gridded representation,align Excel row to grid row axis,Medium
resolution,UNIT 99,Degree of detail in the grid dataset,Grid axis: row,spatial.gridRepresentation.axes[].resolution -> gco:Measure when parseable,same; free text may fall back to CharacterString in older paths only inside grid branch,Degree of detail in the grid dataset,Medium
dimensionSize,Vertical Dimension Size,Number of elements along the axes,Grid axis: vertical,spatial.gridRepresentation.axes + cellGeometry when gridded representation enabled,collected when grid panel used; easy to leave off if users do not enable gridded representation,align Excel row to vertical axis,Medium
resolution,UNIT 99,Degree of detail in the grid dataset,Grid axis: vertical,spatial.gridRepresentation.axes[].resolution -> gco:Measure when parseable,same; free text may fall back to CharacterString in older paths only inside grid branch,Degree of detail in the grid dataset,Medium
title,Acquisition (data collection) entity should be globally unique,Title of the acquisition/collection.,Citation / identification title,missionTitle -> mission.title,fine,N/A,High
date,Creation Date of Dataset,Creation Date of Dataset,Citation date type: creation,startDate -> citation CI_Date creation,works; template also uses gco:Date sometimes while we often emit DateTime,N/A,High
date,Publication Date of Dataset,Publication Date of Dataset,Citation date type: publication,publicationDate -> citation publication date type,exists; preview validation messaging may not stress it everywhere,N/A,High
date,Completion Date of Dataset,Completion or end of dataset,(Spec supplement: often paired with creation/publication in templates),endDate -> citation completion,if Excel only lists creation + publication completion can surprise editors,N/A,Medium
MD_Identifier - code,DOI,The Digital Object Identifier URL,Citation identifier,output.doi -> citation identifier,fine,N/A,High
MD_Identifier - code,identifier,NCEI Accession ID.,Citation identifier,nceiAccessionId -> citation identifier,fine,N/A,High
MD_Identifier - code,Unique Identifier Assigned to Metadata Record,NCEI Metadata ID - same as file identifier,Citation identifier repeat,repeat mission.id in citation,aligned with template pattern,N/A,High
individualName,POC for Dataset,Name of Point of Contact (Author).,Cited responsible party: author,mission organization + email in identification (citedResponsibleParty author),partial vs template multi-party author/publisher/originator,Name Org Email of POC Author,Medium
organisationName,POC's Org,Organization of Point of Contact.,Cited responsible party: author,mission organization + email in identification,partial vs template multi-party author/publisher/originator,Name Org Email of POC Author,Medium
electronicMailAddress,POC Email,Email address of Point of Contact.,Cited responsible party: author,mission organization + email in identification,partial vs template multi-party author/publisher/originator,Name Org Email of POC Author,Medium
URL,Website for POC's Org,Website URL for the organization.,Cited responsible party: author online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,URL protocol name description block for org,Medium
protocol,The connection protocol to be used such as http ftp etc.,Protocol for the URL,Cited responsible party: author online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Protocol for the URL,Medium
name,Background Information Name of the online resource,Website name title,Cited responsible party: author online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Website name title,Medium
description,Background information from the source. Description of the online resource that provides the resource sought,Description of the website,Cited responsible party: author online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Description of the website,Medium
individualName,POC for Dataset,Name of Point of Contact (Originator).,Cited responsible party: originator,mission organization + email in identification (originator role when present),partial vs template multi-party author/publisher/originator,Name Org Email of POC Originator,Medium
organisationName,POC's Org,Organization of Point of Contact.,Cited responsible party: originator,mission organization + email in identification,partial vs template multi-party blocks,Name Org Email of POC Originator,Medium
electronicMailAddress,POC Email,Email address of Point of Contact.,Cited responsible party: originator,mission organization + email in identification,partial vs template multi-party blocks,Email of POC Originator,Medium
URL,Website for POC's Org,Website URL for the organization.,Cited responsible party: originator online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,URL for Originator org,Medium
protocol,The connection protocol to be used such as http ftp etc.,Protocol for the URL,Cited responsible party: originator online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Protocol for Originator URL,Medium
name,Background Information Name of the online resource,Website name title,Cited responsible party: originator online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Website name title Originator,Medium
description,Background information from the source. Description of the online resource that provides the resource sought,Description of the website,Cited responsible party: originator online resource,mission fields + CI_OnlineResource patterns,partial vs template multi-party blocks,Description of website Originator,Medium
abstract,Not a scientific abstract. Describe dataset goals of mission.,General description of the dataset.,Data identification,abstract,fine,N/A,High
purpose,Not a scientific abstract. Describe collection purpose overarching project.,Why the data was collected.,Data identification,purpose -> gmd:purpose,field exists and is emitted; gap is mostly UX copy and Excel row alignment not missing XML,N/A,High
