Workstream,Track,Requirement or Goal,Current State,Target State,Priority,Status,Owner,Target Date,Evidence or Artifact,Notes
Accessibility,508 compliance baseline,Meet Section 508 and WCAG 2.1 A/AA requirements,Theme and input readability improved; formal testing not complete,Documented conformance with test evidence and remediation log,Critical,In Progress,TBD,TBD,`react-pilot/ACCESSIBILITY_VERIFICATION_CHECKLIST.md`,Run automated plus manual assistive technology checks
Accessibility,Keyboard support,All interactive elements must be reachable and operable by keyboard,Partial validation completed,Full keyboard traversal without traps or dead ends,Critical,In Progress,TBD,TBD,`react-pilot/ACCESSIBILITY_VERIFICATION_CHECKLIST.md`,Include modals dropdowns and step navigation
Accessibility,Color contrast,Text controls states and focus indicators must pass contrast thresholds,Improved but not fully audited,Contrast pass for light and dark themes across all form states,High,In Progress,TBD,TBD,Contrast audit worksheet,Include placeholder disabled and validation states
Accessibility,Screen reader semantics,Labels instructions errors and dynamic updates must be announced correctly,Many labels and ARIA attributes present,Validated screen-reader experience for key workflows,High,Not Started,TBD,TBD,Screen reader test script and findings,Test with VoiceOver and NVDA where possible
Accessibility,Reduced motion support,Respect user preference for reduced motion,Reduced motion media query exists,Verify all animations and transitions meet preference,Medium,In Progress,TBD,TBD,CSS review checklist,Ensure no essential information depends on animation
Frontend architecture,Isolated pilot,Stand up isolated React pilot without impacting production legacy UI,React pilot folder created and lint build verified,Pilot approved for phased component migration,High,Complete,Engineering,Completed,`react-pilot/` and README,No production behavior changes from pilot
Frontend architecture,Theme token parity,Use consistent tokenized light and dark theming between legacy and pilot,Legacy and pilot both support manual dark mode,Shared design token map documented and enforced,High,In Progress,TBD,TBD,Theme token inventory,Align naming and semantic usage
Backend architecture,Service boundary,Separate UI from server logic with clear API contract,UI calls `POST /api/db` with explicit `{ fn, args }` contracts,Stable API layer with explicit request and response contracts,Critical,In Progress,TBD,TBD,`react-pilot/docs/DEPLOYMENT.md`,HttpHostAdapter + Netlify function router
Backend architecture,Database migration,Move persistence from Sheets to managed database where appropriate,Sheets used for templates platforms sensors and logs,Relational data model with managed DB and migration scripts,Critical,Not Started,TBD,TBD,ERD and migration plan,Retain export compatibility for metadata outputs
Backend architecture,Data integrity,Enforce schema constraints and validation at persistence layer,Validation mostly in application logic,Database constraints and server-side validation rules in place,High,Not Started,TBD,TBD,Validation matrix and test suite,Prevent duplicate IDs and malformed records
Backend architecture,Audit and traceability,Maintain auditable change history for regulated workflows,Limited logging in current runtime,Structured audit logs with user timestamp and action context,High,Not Started,TBD,TBD,Audit logging spec,Align with records and governance expectations
Security and compliance,Authentication and authorization,Implement role-aware access and least-privilege data operations,Current access model tied to legacy web deployment context,Centralized authN and authZ strategy with documented roles,Critical,Not Started,TBD,TBD,Security architecture decision record,Coordinate with NOAA security stakeholders
Security and compliance,PII and data handling,Classify and protect sensitive fields according to policy,Data classification not formally documented,Data classification and handling controls documented and enforced,High,Not Started,TBD,TBD,Data classification worksheet,Include retention and deletion requirements
Security and compliance,Hosting and ATO path,Use approved hosting and deployment process for NOAA environment,Hosting model currently bound to legacy web app,Approved deployment model and compliance pathway confirmed,Critical,Not Started,TBD,TBD,Platform decision memo,Engage security and platform authorities early
Design system and UX,USWDS alignment,Adopt federal design system patterns for consistency and accessibility,Current UI is custom Bootstrap implementation,USWDS-aligned component strategy documented and piloted,High,In Progress,TBD,TBD,USWDS adoption checklist,React path can use USWDS-compatible component libraries
Program delivery,Phased migration plan,Deliver migration in low-risk increments with rollback points,Initial pilot and scope discussion complete,Approved phased roadmap with milestones and acceptance criteria,Critical,In Progress,Program Lead,TBD,Migration roadmap document,Start with mission step and read operations first
Program delivery,Quality gates,Define entry and exit criteria for each migration phase,No formal phase gates documented,Phase gates include accessibility functional and performance checks,High,Not Started,TBD,TBD,Release readiness checklist,Require sign-off before expanding scope
Program delivery,Stakeholder reporting,Provide concise status reporting for NOAA and project stakeholders,Status currently ad hoc,Monthly dashboard and decision log maintained,Medium,Not Started,TBD,TBD,Steering update template,Track risks decisions dependencies and blockers
